0.25	1.637
0.26	1.737
0.27	2.030
0.28	2.840
0.29	4.185
0.30	5.049
0.31	5.091
0.32	5.085
0.33	5.135
0.34	5.245
0.35	5.423
0.36	5.914
0.37	6.820
0.38	6.587
0.39	6.025
0.40	5.623
0.41	5.341
0.42	5.110
0.43	4.932
0.44	4.790
0.45	4.673
0.46	4.572
0.47	4.485
0.48	4.412
0.49	4.349
0.50	4.289
0.51	4.235
0.52	4.187
0.53	4.145
0.54	4.103
0.55	4.073
0.56	4.038
0.57	4.006
0.58	3.977
0.59	3.954
0.60	3.931
0.61	3.908
0.62	3.888
0.63	3.869
0.64	3.851
0.65	3.835
0.66	3.817
0.67	3.805
0.68	3.791
0.69	3.776
0.70	3.765
0.71	3.753
0.72	3.741
0.73	3.730
0.74	3.719
0.75	3.712
0.76	3.701
0.77	3.693
0.78	3.684
0.79	3.677
0.80	3.669
0.81	3.662
0.82	3.655
0.83	3.646
0.84	3.641
0.85	3.636
0.86	3.628
0.87	3.622
0.88	3.617
0.89	3.613
0.90	3.610
0.91	3.604
0.92	3.598
0.93	3.597
0.94	3.590
0.95	3.584
0.96	3.584
0.97	3.578
0.98	3.582
0.99	3.579
1.00	3.575
1.01	3.572
1.02	3.568
1.03	3.565
1.04	3.562
1.05	3.559
1.06	3.556
1.07	3.553
1.08	3.549
1.09	3.547
1.10	3.545
1.11	3.542
1.12	3.540
1.13	3.537
1.14	3.534
1.15	3.533
1.16	3.530
1.17	3.527
1.18	3.526
1.19	3.524
1.20	3.522
1.21	3.520
1.22	3.518
1.23	3.517
1.24	3.515
1.25	3.513
1.26	3.512
1.27	3.509
1.28	3.509
1.29	3.506
1.30	3.505
1.31	3.503
1.32	3.502
1.33	3.501
1.34	3.500
1.35	3.499
1.36	3.497
1.37	3.496
1.38	3.496
1.39	3.496
1.40	3.493
1.41	3.492
1.42	3.492
1.43	3.490
1.44	3.488
1.45	3.487
